,Poster,Time,T2,Title,Author,ID,Date,Session
3,1,10:00,22:00,Unsupervised Learning of Probably Symmetric Deformable 3D Objects From Images in the Wild,"Shangzhe Wu, Christian Rupprecht, Andrea Vedaldi",7,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1A — 3D From a Single Image and Shape-From-X (1)
4,2,10:05,22:05,Footprints and Free Space From a Single Color Image,"Jamie Watson, Michael Firman, Aron Monszpart, Gabriel J. Brostow",2582,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1A — 3D From a Single Image and Shape-From-X (1)
5,3,10:10,22:10,Dynamic Fluid Surface Reconstruction Using Deep Neural Network,"Simron Thapa, Nianyi Li, Jinwei Ye",3092,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1A — 3D From a Single Image and Shape-From-X (1)
6,4,10:15,22:15,CvxNet: Learnable Convex Decomposition,"Boyang Deng, Kyle Genova, Soroosh Yazdani, Sofien Bouaziz, Geoffrey Hinton, Andrea Tagliasacchi",5908,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1A — 3D From a Single Image and Shape-From-X (1)
7,5,10:20,22:20,BSP-Net: Generating Compact Meshes via Binary Space Partitioning,"Zhiqin Chen, Andrea Tagliasacchi, Hao Zhang",789,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1A — 3D From a Single Image and Shape-From-X (1)
8,6,10:25,22:25,"Total3DUnderstanding: Joint Layout, Object Pose and Mesh Reconstruction for Indoor Scenes From a Single Image","Yinyu Nie, Xiaoguang Han, Shihui Guo, Yujian Zheng, Jian Chang, Jian Jun Zhang",4498,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1A — 3D From a Single Image and Shape-From-X (1)
9,7,10:30,22:30,Generating and Exploiting Probabilistic Monocular Depth Estimates,"Zhihao Xia, Patrick Sullivan, Ayan Chakrabarti",6136,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1A — 3D From a Single Image and Shape-From-X (1)
10,8,10:35,22:35,Neural Cages for Detail-Preserving 3D Deformations,"Wang Yifan, Noam Aigerman, Vladimir G. Kim, Siddhartha Chaudhuri, Olga Sorkine-Hornung",6035,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1A — 3D From a Single Image and Shape-From-X (1)
11,9,10:40,22:40,PIFuHD: Multi-Level Pixel-Aligned Implicit Function for High-Resolution 3D Human Digitization,"Shunsuke Saito, Tomas Simon, Jason Saragih, Hanbyul Joo",5870,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1A — 3D From a Single Image and Shape-From-X (1)
12,10,10:45,22:45,A Lighting-Invariant Point Processor for Shading,"Kathryn Heal, Jialiang Wang, Steven J. Gortler, Todd Zickler",6433,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1A — 3D From a Single Image and Shape-From-X (1)
13,11,10:50,22:50,ActiveMoCap: Optimized Viewpoint Selection for Active Human Motion Capture,"Sena Kiciroglu, Helge Rhodin, Sudipta N. Sinha, Mathieu Salzmann, Pascal Fua",9312,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1A — 3D From a Single Image and Shape-From-X (1)
14,12,10:55,22:55,Peek-a-Boo: Occlusion Reasoning in Indoor Scenes With Plane Representations,"Ziyu Jiang, Buyu Liu, Samuel Schulter, Zhangyang Wang, Manmohan Chandraker",5348,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1A — 3D From a Single Image and Shape-From-X (1)
19,13,10:00,22:00,Multi-Modal Domain Adaptation for Fine-Grained Action Recognition,"Jonathan Munro, Dima Damen",6128,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1B — Action and Behavior
20,14,10:05,22:05,Evolving Losses for Unsupervised Video Representation Learning,"AJ Piergiovanni, Anelia Angelova, Michael S. Ryoo",2831,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1B — Action and Behavior
21,15,10:10,22:10,Disentangling and Unifying Graph Convolutions for Skeleton-Based Action Recognition,"Ziyu Liu, Hongwen Zhang, Zhenghao Chen, Zhiyong Wang, Wanli Ouyang",5346,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1B — Action and Behavior
22,16,10:15,22:15,A Multigrid Method for Efficiently Training Video Models,"Chao-Yuan Wu, Ross Girshick, Kaiming He, Christoph Feichtenhofer, Philipp Krähenbühl",1155,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1B — Action and Behavior
23,17,10:20,22:20,Ego-Topo: Environment Affordances From Egocentric Video,"Tushar Nagarajan, Yanghao Li, Christoph Feichtenhofer, Kristen Grauman",2928,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1B — Action and Behavior
24,18,10:25,22:25,Generative Hybrid Representations for Activity Forecasting With No-Regret Learning,"Jiaqi Guan, Ye Yuan, Kris M. Kitani, Nicholas Rhinehart",7531,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1B — Action and Behavior
25,19,10:30,22:30,Skeleton-Based Action Recognition With Shift Graph Convolutional Network,"Ke Cheng, Yifan Zhang, Xiangyu He, Weihan Chen, Jian Cheng, Hanqing Lu",1993,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1B — Action and Behavior
26,20,10:35,22:35,Predicting Goal-Directed Human Attention Using Inverse Reinforcement Learning,"Zhibo Yang, Lihan Huang, Yupei Chen, Zijun Wei, Seoyoung Ahn, Gregory Zelinsky, Dimitris Samaras, Minh Hoai",7339,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1B — Action and Behavior
27,21,10:40,22:40,X3D: Expanding Architectures for Efficient Video Recognition,Christoph Feichtenhofer,378,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1B — Action and Behavior
28,22,10:45,22:45,Dynamic Multiscale Graph Neural Networks for 3D Skeleton Based Human Motion Prediction,"Maosen Li, Siheng Chen, Yangheng Zhao, Ya Zhang, Yanfeng Wang, Qi Tian",751,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1B — Action and Behavior
29,23,10:50,22:50,"Use the Force, Luke! Learning to Predict Physical Forces by Simulating Effects","Kiana Ehsani, Shubham Tulsiani, Saurabh Gupta, Ali Farhadi, Abhinav Gupta",3095,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1B — Action and Behavior
34,24,10:00,22:00,DaST: Data-Free Substitute Training for Adversarial Attacks,"Mingyi Zhou, Jing Wu, Yipeng Liu, Shuaicheng Liu, Ce Zhu",7938,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1C — Adversarial Learning
35,25,10:05,22:05,Towards Verifying Robustness of Neural Networks Against A Family of Semantic Perturbations,"Jeet Mohapatra, Tsui-Wei Weng, Pin-Yu Chen, Sijia Liu, Luca Daniel",9633,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1C — Adversarial Learning
36,26,10:10,22:10,The Secret Revealer: Generative Model-Inversion Attacks Against Deep Neural Networks,"Yuheng Zhang, Ruoxi Jia, Hengzhi Pei, Wenxiao Wang, Bo Li, Dawn Song",6102,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1C — Adversarial Learning
37,27,10:15,22:15,A Self-supervised Approach for Adversarial Robustness,"Muzammal Naseer, Salman Khan, Munawar Hayat, Fahad Shahbaz Khan, Fatih Porikli",8087,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1C — Adversarial Learning
38,28,10:20,22:20,Adversarial Vertex Mixup: Toward Better Adversarially Robust Generalization,"Saehyung Lee, Hyungyu Lee, Sungroh Yoon",7089,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1C — Adversarial Learning
39,29,10:25,22:25,How Does Noise Help Robustness? Explanation and Exploration under the Neural SDE Framework,"Xuanqing Liu, Tesi Xiao, Si Si, Qin Cao, Sanjiv Kumar, Cho-Jui Hsieh",10482,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1C — Adversarial Learning
40,30,10:30,22:30,Unpaired Image Super-Resolution Using Pseudo-Supervision,Shunta Maeda,7311,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1C — Adversarial Learning
41,31,10:35,22:35,Universal Litmus Patterns: Revealing Backdoor Attacks in CNNs,"Soheil Kolouri, Aniruddha Saha, Hamed Pirsiavash, Heiko Hoffmann",7866,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1C — Adversarial Learning
42,32,10:40,22:40,Robustness Guarantees for Deep Neural Networks on Videos,"Min Wu, Marta Kwiatkowska",9636,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1C — Adversarial Learning
43,33,10:45,22:45,Benchmarking Adversarial Robustness on Image Classification,"Yinpeng Dong, Qi-An Fu, Xiao Yang, Tianyu Pang, Hang Su, Zihao Xiao, Jun Zhu",5414,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1C — Adversarial Learning
44,34,10:50,22:50,What It Thinks Is Important Is Important: Robustness Transfers Through Input Gradients,"Alvin Chan, Yi Tay, Yew-Soon Ong",4226,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1C — Adversarial Learning
45,35,10:55,22:55,"Transferable, Controllable, and Inconspicuous Adversarial Attacks on Person Re-identification With Deep Mis-Ranking","Hongjun Wang, Guangrun Wang, Ya Li, Dongyu Zhang, Liang Lin",2062,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Oral 1.1C — Adversarial Learning
50,36,10:00,22:00,Video Modeling With Correlation Networks,"Heng Wang, Du Tran, Lorenzo Torresani, Matt Feiszli",46,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
51,37,10:00,22:00,Projection & Probability-Driven Black-Box Attack,"Jie Li, Rongrong Ji, Hong Liu, Jianzhuang Liu, Bineng Zhong, Cheng Deng, Qi Tian",150,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
52,38,10:00,22:00,Auxiliary Training: Towards Accurate and Robust Models,"Linfeng Zhang, Muzhou Yu, Tong Chen, Zuoqiang Shi, Chenglong Bao, Kaisheng Ma",558,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
53,39,10:00,22:00,PaStaNet: Toward Human Activity Knowledge Engine,"Yong-Lu Li, Liang Xu, Xinpeng Liu, Xijie Huang, Yue Xu, Shiyi Wang, Hao-Shu Fang, Ze Ma, Mingyang Chen, Cewu Lu",577,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
54,40,10:00,22:00,A Hierarchical Graph Network for 3D Object Detection on Point Clouds,"Jintai Chen, Biwen Lei, Qingyu Song, Haochao Ying, Danny Z. Chen, Jian Wu",584,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
55,41,10:00,22:00,Learning Generative Models of Shape Handles,"Matheus Gadelha, Giorgio Gori, Duygu Ceylan, Radomír Měch, Nathan Carr, Tamy Boubekeur, Rui Wang, Subhransu Maji",890,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
56,42,10:00,22:00,One Man’s Trash Is Another Man’s Treasure: Resisting Adversarial Examples by Adversarial Examples,"Chang Xiao, Changxi Zheng",1028,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
57,43,10:00,22:00,Toward a Universal Model for Shape From Texture,"Dor Verbin, Todd Zickler",1118,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
58,44,10:00,22:00,HybridPose: 6D Object Pose Estimation Under Hybrid Representations,"Chen Song, Jiaru Song, Qixing Huang",1176,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
59,45,10:00,22:00,Boundary-Aware 3D Building Reconstruction From a Single Overhead Image,"Jisan Mahmud, True Price, Akash Bapat, Jan-Michael Frahm",1368,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
60,46,10:00,22:00,Articulation-Aware Canonical Surface Mapping,"Nilesh Kulkarni, Abhinav Gupta, David F. Fouhey, Shubham Tulsiani",1622,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
61,47,10:00,22:00,BiFuse: Monocular 360 Depth Estimation via Bi-Projection Fusion,"Fu-En Wang, Yu-Hsuan Yeh, Min Sun, Wei-Chen Chiu, Yi-Hsuan Tsai",1690,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
62,48,10:00,22:00,Transformation GAN for Unsupervised Image Synthesis and Representation Learning,"Jiayu Wang, Wengang Zhou, Guo-Jun Qi, Zhongqian Fu, Qi Tian, Houqiang Li",1753,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
63,49,10:00,22:00,PPDM: Parallel Point Detection and Matching for Real-Time Human-Object Interaction Detection,"Yue Liao, Si Liu, Fei Wang, Yanjie Chen, Chen Qian, Jiashi Feng",1812,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
64,50,10:00,22:00,Height and Uprightness Invariance for 3D Prediction From a Single View,"Manel Baradad, Antonio Torralba",1926,"Date: Tuesday, June 16, 2020 Q&A Time: 1000–1200 and 2200–0000",Session: Poster 1.1 — 3D From a Single Image and Shape-From-X; Action and Behavior Recognition; Adversarial Learning
