Title,Author,URL,Date,Time
Deep Learning and Multiple Drone Vision,Ioannis Pitas,http://icarus.csd.auth.gr/cvpr2020-tutorial-deep-learning-and-multiple-drone-vision/,19-Jun,Half-day (morning)
RANSAC in 2020,"Jiri Matas, Ondrej Chum, Tat-Jun Chin, René Ranftl, Dmytro Mishkin, Dániel Baráth",http://cmp.felk.cvut.cz/cvpr2020-ransac-tutorial/,14-Jun,Full-day
Vision Models for Emerging Media Technologies and Their Impact on Computer Vision,Marcelo Bertalmío,https://www.upf.edu/web/marcelo-bertalmio/cvpr-2020-tutorial,19-Jun,Half-day (afternoon)
"Visual Recognition for Images, Video, and 3D","Saining Xie, Ross Girshick, Alexander Kirillov, Yuxin Wu, Christoph Feichtenhofer, Haoqi Fan, Georgia Gkioxari, Justin Johnson, Nikhila Ravi, Piotr Dollár, Wan-Yen Lo",http://s9xie.github.io/Tutorials/CVPR2020/,15-Jun,Full-day
Image Retrieval in the Wild,"Yusuke Matsui, Takuma Yamaguchi, Zheng Wang",https://matsui528.github.io/cvpr2020_tutorial_retrieval/,19-Jun,Half-day (morning)
Large Scale Holistic Video Understanding,"Mohsen Fayyaz, Ali Diba, Vivek Sharma, Manohar Paluri, Jürgen Gall, Rainer Stiefelhagen, Luc van Gool",https://holistic-video-understanding.github.io/tutorials/cvpr2020.html,19-Jun,Full-day
Contactless Health Monitoring With AI,"Wenjin Wang, Gerard de Haan, Shiwen Mao, Xuyu Wang, Mingmin Zhao",https://sites.google.com/view/cvpr2020tutorial,19-Jun,Half-day (afternoon)
Neural Rendering,"Ayush Tewari, Ohad Fried, Justus Thies, Vincent Sitzmann, Stephen Lombardi, Kalyan Sunkavalli, Ricardo Martin-Brualla, Tomas Simon, Jason Saragih, Matthias Nießner, Rohit K. Pandey, Sean Fanello, Gordon Wetzstein, Jun-Yan Zhu, Christian Theobalt, Maneesh Agrawala, Eli Shechtman, Dan B. Goldman, Michael Zollhöfer",https://www.neuralrender.com/,15-Jun,Full-day
Interpretable Machine Learning for Computer Vision,Bolei Zhou,https://interpretablevision.github.io/,15-Jun,Half-day (morning)
Automated Machine Learning Workflow for Distributed Big Data Using Analytics Zoo,Jason Dai,https://jason-dai.github.io/cvpr2020/,19-Jun,Half-day (afternoon)
