Title,Author,URL,Date
15th IEEE Computer Society Biometrics Workshop,"Bir Bhanu, Ajay Kumar",https://vislab.ucr.edu/Biometrics2020/index.php,"June 19th, Full Day"
16th IEEE CVPR Workshop on Perception Beyond the Visible Spectrum,"Riad I. Hammoud, Michael Teutsch, Angel D. Sappa, Yi Ding",http://vcipl-okstate.org/pbvs/20/,"June 14th, Full Day"
"2nd CVPR Workshop on 3D Scene Understanding for Vision, Graphics, and Robotics","Siyuan Huang, Chuhang Zou, Hao Su, Alexander Schwing, Shuran Song, Jiajun Wu, Siyuan Qi, Yixin Zhu, David Forsyth, Derek Hoiem, Leonidas Guibas, and Song-Chun Zhu",https://scene-understanding.com,"June 15th, Full Day"
2nd ScanNet Indoor Scene Understanding Challenge,"Angela Dai, Angel X. Chang, Manolis Savva, Matthias Nießner",http://www.scan-net.org/cvpr2020workshop/,"June 19th, Afternoon"
2nd Workshop on Learning from Imperfect Data,"Yunchao Wei, Shuai (Kyle) Zheng, Ming-Ming Cheng, Hang Zhao, Errui Ding, Yi Yang, Antonio Torralba",https://lidchallenge.github.io/,"June 14th, Full Day"
2nd Workshop on Learning from Unlabeled Videos (LUV),"Yale Song, Carl Vondrick, Katerina Fragkiadaki, Honglak Lee, Rahul Sukthankar",http://sites.google.com/view/luv2020,"June 19th, Full Day"
2nd Workshop on Precognition: Seeing through the Future,"Khoa Luu, Kris Kitani, Minh Hoai Nguyen, Hien Van Nguyen, Nemanja Djuric, Utsav Prabhu",https://sites.google.com/view/ieeecvf-cvpr2020-precognition/home,"June 19th, Afternoon"
3rd Workshop and Challenge on Learned Image Compression,"George Toderici, Wenzhe Shi, Eirikur Agustsson, Radu Timofte, Lucas Theis, Johannes Ballé, Nick Johnston, Fabian Mentzer",http://www.compression.cc/,"June 14th, Full Day"
"3rd Workshop on Computer Vision For Fashion, Art and Design","Hui Wu, Negar Rostamzadeh, Yuying Ge, Wei Zhang, Leonidas Lefakis, Xiaoxiao Guo, Ruimao Zhang, Chris Pal",https://sites.google.com/view/cvcreative2020,"June 19th, Morning"
4th AI City Challenge,"Milind Naphade, Shuo Wang, Liang Zheng, Xiaodong Yang, David C Anastasiu, Anuj Sharma, Zheng Tang, Ming-Ching Chang, Rama Chellappa",https://www.aicitychallenge.org,"June 15th, Full Day"
4th Workshop on Media Forensics,"Arslan Basharat, Christoph Bregler, Cristian Canton (*), Davide Cozzolino, Edward Delp, Sergio Escalera, Hany Farid, Sam Gregory, Guodong Guo, Isabelle Guyon, Hugo Jair, Laura Leal-Taixé, Ser-Nam Lim, Scott McCloskey, Matthias Nießner, Andreas Rössler, Christa Scharfenberg, Justus Thies, Luisa Verdoliva, Jun Wan

(*) Person of contact",https://sites.google.com/view/wmediaforensics2020,"June 15th, Full Day"
4th Workshop on Visual Understanding by Learning from Web Data,"Wen Li, Hilde Kuehne, Suman Saha, Qin Wang, Limin Wang, Wei Li, Jesse
Berent, Abhinav Gupta, Rahul Sukthankar, Luc Van Gool",http://www.vision.ee.ethz.ch/webvision/workshop.html,"June 15th, Full Day"
5th International Skin Imaging Collaboration (ISIC) Workshop on Skin Image Analysis,"M. Emre Celebi, Noel C. F. Codella, Kristin Dana, Allan Halpern, Philipp Tschandl, Marc Combalia",https://workshop2020.isic-archive.com,"June 15th, Morning"
5th International Workshop on Differential Geometry in Computer Vision and Machine Learning: Diff-CVML,"Shantanu Joshi, Vittorio Murino, Anuj Srivastava, Pavan Turaga, Baba Vemuri",http://diffcvml.org/2020,"June 19th, Full Day"
5th Workshop on Benchmarking Multi-Target Tracking: Multi-Object Tracking and Segmentation,"Bastian Leibe, Laura Leal-Taixe, Andreas Geiger, Aljosa Osep, Paul Voigtlaender, Jonathon Luiten, Patrick Dendorfer",https://motchallenge.net/workshops/bmtt2020/,"June 19th, Afternoon"
6th IEEE International Workshop on Computer Vision in Sports (CVsports),"Thomas Moeslund, Graham Thomas, Adrian Hilton, Jim Little, Michele Merler, Rikke Gade",http://www.vap.aau.dk/cvsports/,"June 19th, Full Day"
"6th International Workshop on Egocentric Perception, Interaction and Computing (EPIC)","Walterio Mayol Cuevas, Hazel Doughty, Dima Damen, Kristen Grauman, Giovanni Maria Farinella, Antonino Furnari, David Crandall",https://eyewear-computing.org/EPIC_CVPR20/,"June 15th, Morning"
7th DeepVision Workshop,"Yann LeCun, Jose M. Alvarez, Cristian Canton",https://sites.google.com/view/deepvision2020,"June 19th, Full Day"
7th Workshop on Fine Grained Visual Categorization (FGVC7 ),"Oisin Mac Aodha, Ryan Farrell, Subhransu Maji, Christine Kaeser-Chen, Grant Van Horn, Serge Belongie",https://sites.google.com/view/fgvc7,"June 19th, Full Day"
